HOLE-ID,FROM_M,TO_M,CODE_IE
3908,35.35,36.11,CIS
3916,0.60,1.52,CIS
3918,23.62,23.86,CIS
3918,23.95,24.26,CIS
3919,22.55,28.19,CIS
3924,7.46,8.38,CIS
3924,41.14,41.60,CIS
3924,49.37,50.74,CIS
3929,12.64,13.10,CIS
3929,13.56,16.45,CIS
3929,16.91,17.98,CIS
3930,7.31,8.47,CIS
3930,14.02,16.15,CIS
3935,33.37,33.98,CIS
3936,42.06,42.82,CIS
3939,18.44,20.72,CIS
3939,23.04,23.80,CIS
3939,26.21,26.51,CIS
3939,30.02,32.30,CIS
3940,24.38,24.99,CIS
3942,8.07,8.53,CIS
3942,9.90,10.18,CIS
3942,16.76,17.22,CIS
3944,6.09,8.22,CIS
3953,17.83,18.28,CIS
3954,9.14,13.71,CIS
3954,14.63,15.08,CIS
3960,22.40,22.86,CIS
3960,23.46,24.23,CIS
3960,26.06,26.97,CIS
3962,5.18,9.44,CIS
3962,12.03,12.80,CIS
3962,13.86,15.08,CIS
3962,26.21,28.95,CIS
3963,18.13,18.44,CIS
3964,2.43,5.18,CIS
3965,6.70,7.16,CIS
3965,21.94,23.16,CIS
3966,13.71,16.76,CIS
3966,23.77,24.23,CIS
3972,21.94,22.86,CIS
3972,23.92,25.90,CIS
3973,8.53,8.68,CIS
3978,24.07,25.45,CIS
3979,28.65,29.26,CIS
3980,0.60,2.59,CIS
3980,33.98,37.79,CIS
3981,28.65,29.87,CIS
3981,42.67,43.12,CIS
3982,29.41,29.71,CIS
3983,30.78,34.13,CIS
3984,17.98,22.86,CIS
3993,126.49,129.69,CIS
4002,0.45,0.91,CIS
4002,124.66,125.63,CIS
4003,0.00,1.52,CIS
4013,1.82,2.28,CIS
4015,0.91,1.37,CIS
4015,7.01,7.46,CIS
4015,51.20,51.66,CIS
4015,72.69,73.76,CIS
4016,35.35,35.96,CIS
4017,13.62,17.22,CIS
4017,73.91,74.21,CIS
4017,86.25,86.56,CIS
4018,26.82,27.12,CIS
4028,0.00,0.45,CIS
4028,32.52,32.55,FAI
4028,50.29,50.90,CIS
4028,58.52,59.74,CIS
4032,9.75,10.45,CIS
4032,12.03,12.34,CIS
4032,124.66,126.49,CIS
4033,60.50,61.26,CIS
4033,106.37,106.89,CIS
4033,115.39,115.82,CIS
4038,44.80,45.41,CIS
4040,60.65,61.56,CIS
4041,3.87,8.53,CIS
4041,29.26,30.17,CIS
4042,8.38,9.29,CIS
4042,61.11,61.41,CIS
4045,5.33,16.00,CIS
4045,26.67,27.12,CIS
4045,31.54,31.85,CIS
4045,34.59,36.11,CIS
4046,34.44,36.88,CIS
4047,4.87,7.16,CIS
4047,36.27,38.70,CIS
4048,29.71,30.63,CIS
4061,26.82,31.02,CIS
4061,36.42,36.66,CIS
4083,4.26,8.22,CIS
4083,60.04,61.56,CIS
4104,24.99,26.06,CIS
4107,0.00,2.13,CIS
4107,3.50,4.11,CIS
4107,21.45,22.70,CIS
4107,23.86,24.07,CIS
4108,1.67,2.13,CIS
4108,18.44,19.20,CIS
4108,27.12,30.48,CIS
4108,34.59,35.05,CIS
4111,23.46,27.43,CIS
4112,20.87,21.12,CIS
4113,0.60,0.91,CIS
4113,5.02,6.85,CIS
4114,0.60,1.06,CIS
4114,1.82,2.68,CIS
4114,9.14,10.21,CIS
4115,0.60,3.04,CIS
4116,0.60,1.52,CIS
4116,39.31,39.62,CIS
4116,40.90,41.69,CIS
4116,42.48,42.67,CIS
4117,0.00,0.91,CIS
4117,2.56,5.33,CIS
4117,6.85,7.62,CIS
4117,11.27,12.10,CIS
4117,12.28,13.77,CIS
4117,15.24,23.86,CIS
4118,7.16,8.62,CIS
4118,9.26,9.75,CIS
4118,37.49,39.16,CIS
4118,43.43,43.89,CIS
4120,14.02,15.08,CIS
4120,26.97,28.95,CIS
4123,6.24,7.01,CIS
4123,50.74,51.35,CIS
4123,71.32,72.23,CIS
4124,13.56,15.84,CIS
4124,18.89,19.65,CIS
4124,60.65,62.48,CIS
4124,121.61,121.92,CIS
4124,123.13,123.59,CIS
4124,124.05,124.66,CIS
4124,156.81,158.03,CIS
4125,27.73,28.04,CIS
4125,41.30,44.19,CIS
4127,27.73,28.19,CIS
4127,28.80,29.26,CIS
4127,32.15,32.61,CIS
4127,35.96,36.57,CIS
4127,38.10,39.31,CIS
4127,48.46,51.87,CIS
4129,0.00,0.60,CIS
4129,37.61,38.25,CIS
4129,38.86,40.93,CIS
4130,20.72,21.03,CIS
4130,33.95,34.93,CIS
4130,38.70,39.31,CIS
4130,40.53,42.21,CIS
4131,35.26,35.35,CIS
4131,53.94,54.40,CIS
4131,62.78,63.39,CIS
4131,64.00,64.31,CIS
4131,89.91,90.12,CIS
4131,107.13,107.35,CIS
4131,110.33,110.64,CIS
4131,110.79,111.55,CIS
4132,0.00,1.21,CIS
4132,29.62,33.37,CIS
4132,65.83,66.14,CIS
4133,33.68,34.99,CIS
4133,35.69,37.33,CIS
4134,31.54,31.88,CIS
4134,50.74,52.27,CIS
4137,18.59,19.50,CIS
4137,33.22,33.83,CIS
4138,8.22,9.44,CIS
4138,18.13,18.44,CIS
4138,28.34,29.87,CIS
4138,31.69,32.00,CIS
4138,64.46,64.70,CIS
4141,46.93,47.48,CIS
4143,31.39,35.05,CIS
4143,37.79,39.62,CIS
4143,40.84,41.75,CIS
4144,37.49,38.10,CIS
4145,5.63,13.04,CIS
4145,19.96,21.79,CIS
4146,1.21,2.74,CIS
4146,46.02,46.17,CIS
4146,48.61,49.22,CIS
4146,68.27,68.73,CIS
4148,9.90,10.21,CIS
4148,63.70,68.58,CIS
4149,0.45,1.37,CIS
4149,12.95,13.25,CIS
4149,25.90,26.67,CIS
4150,22.18,22.25,CIS
4150,40.84,41.14,CIS
4150,60.25,60.44,CIS
4150,88.84,89.15,CIS
4150,104.54,105.00,CIS
4151,30.17,31.39,CIS
4151,45.41,45.72,CIS
4152,6.40,9.14,CIS
4152,10.30,10.45,CIS
4152,11.58,13.25,CIS
4153,4.57,4.66,CIS
4153,5.02,5.48,CIS
4153,14.29,14.84,CIS
4153,20.08,20.26,CIS
4154,6.18,7.40,CIS
4159,8.22,10.21,CIS
4161,15.69,16.15,CIS
4162,78.85,79.09,CIS
4162,80.58,80.86,CIS
4170,44.65,46.93,CIS
4170,60.65,60.96,CIS
4170,104.08,109.11,CIS
4170,142.64,143.56,CIS
4170,147.52,148.28,CIS
4171,16.91,17.83,CIS
4172,31.24,31.85,CIS
4172,34.59,35.20,CIS
4172,111.86,113.08,CIS
4179,24.38,24.68,CIS
4179,38.86,39.47,CIS
4179,43.58,47.24,CIS
4179,62.17,62.63,CIS
4179,63.09,64.00,CIS
4179,83.82,90.52,CIS
4181,14.32,14.53,CIS
4181,45.11,46.93,CIS
4181,48.15,48.76,CIS
4181,72.99,73.91,CIS
4182,16.15,18.89,CIS
4183,0.60,3.04,CIS
4183,29.87,33.52,CIS
4184,37.73,38.55,CIS
4184,39.47,39.56,CIS
4184,40.53,40.99,CIS
4186,0.45,9.14,CIS
4186,28.80,29.26,CIS
4187,24.99,30.02,CIS
4188,0.36,0.64,CIS
4188,0.97,1.12,CIS
4188,11.43,12.34,CIS
4188,14.02,14.78,CIS
4188,19.81,20.11,CIS
4188,20.57,21.79,CIS
4189,0.97,1.06,CIS
4189,12.95,13.71,CIS
4189,18.68,19.50,CIS
4189,21.94,23.46,CIS
4189,24.38,27.43,CIS
4190,0.00,0.60,CIS
4190,7.62,8.07,CIS
4190,44.80,45.41,CIS
4190,91.59,92.47,CIS
4190,166.42,168.00,CIS
4191,38.49,42.51,CIS
4191,58.52,58.76,CIS
4191,63.24,64.00,CIS
4191,78.94,79.00,CIS
4191,154.38,157.49,CIS
4192,25.14,25.45,CIS
4192,25.90,25.99,CIS
4192,34.13,34.44,CIS
4192,55.77,57.60,CIS
4193,38.10,38.70,CIS
4193,68.12,68.58,CIS
4193,92.81,93.57,CIS
4193,151.48,151.60,CIS
4193,154.22,154.68,CIS
4194,71.17,71.93,CIS
4194,78.79,80.16,CIS
4195,79.85,80.46,CIS
4210,66.44,70.71,CIS
4211,0.00,0.60,CIS
4211,58.36,58.97,CIS
4216,0.60,2.34,CIS
4218,0.00,1.52,CIS
4218,22.25,28.04,CIS
4218,32.91,33.52,CIS
4219,17.67,18.28,CIS
4219,20.87,22.09,CIS
4220,6.70,7.62,CIS
4220,17.37,19.81,CIS
4220,22.86,25.90,CIS
4220,28.80,31.85,CIS
4221,3.65,5.94,CIS
4221,17.22,18.13,CIS
4221,19.96,22.03,CIS
4222,27.88,32.82,CIS
4223,11.58,11.88,CIS
4223,14.63,15.24,CIS
4223,17.76,18.34,CIS
4223,19.20,21.94,CIS
4228,26.36,26.82,CIS
4228,30.02,31.69,CIS
4229,33.55,35.35,CIS
4229,48.58,49.83,CIS
4232,10.66,11.27,CIS
4232,27.73,28.04,CIS
4232,48.15,48.46,FAI
4232,54.25,55.01,CIS
4232,103.78,103.96,CIS
4232,149.35,149.65,FAI
4236,24.99,25.45,CIS
4240,16.61,18.59,CIS
4240,23.31,23.62,CIS
4240,26.21,26.97,CIS
4243,13.83,17.37,CIS
4243,20.11,20.87,CIS
4244,31.85,33.74,CIS
4248,6.70,7.31,CIS
4248,17.98,19.05,CIS
4248,19.78,20.26,CIS
4248,21.64,22.09,CIS
4248,60.35,60.65,CIS
4248,63.09,64.77,CIS
4248,68.00,68.12,CIS
4248,106.37,106.98,CIS
4248,110.94,112.01,CIS
4248,121.92,122.37,CIS
4248,149.96,150.26,CIS
4248,155.14,155.75,CIS
4248,165.20,167.73,CIS
4261,0.00,1.21,CIS
4261,48.09,52.12,CIS
4262,5.63,6.76,CIS
4262,8.22,10.60,CIS
4262,14.02,14.32,CIS
4262,105.36,106.52,CIS
4263,0.00,0.91,CIS
4263,2.13,3.04,CIS
4263,37.03,37.79,CIS
4263,41.75,41.78,CIS
4263,48.06,48.09,CIS
4263,62.02,62.94,CIS
4263,63.39,63.85,CIS
4263,101.49,106.22,CIS
4263,109.84,109.88,CIS
4263,111.55,111.86,CIS
4264,0.00,2.13,CIS
4264,42.67,43.12,CIS
4264,48.15,48.76,CIS
4264,61.56,62.63,CIS
4265,9.44,10.36,CIS
4265,12.25,12.95,CIS
4265,15.54,16.91,CIS
4279,0.48,5.33,CIS
4279,64.31,67.02,CIS
4279,80.61,81.38,CIS
4280,1.82,4.87,CIS
4280,21.94,22.25,CIS
4280,47.00,49.98,CIS
4284,14.32,14.78,CIS
4284,28.04,28.95,CIS
4284,50.07,52.42,CIS
4285,13.10,13.41,CIS
4285,15.69,24.99,CIS
4285,26.91,27.58,CIS
4287,9.29,10.05,CIS
4288,7.01,7.16,CIS
4289,18.59,19.35,CIS
4289,20.42,21.18,CIS
4289,22.86,23.46,CIS
4296,0.60,3.81,CIS
4296,28.49,29.87,CIS
4303,7.31,7.62,CIS
4303,27.27,29.32,CIS
4311,0.00,2.43,CIS
4313,20.11,24.07,CIS
4313,113.84,116.12,CIS
4313,120.39,121.15,CIS
4313,162.91,165.59,CIS
4313,167.03,172.51,CIS
4314,26.51,26.82,CIS
4321,63.70,64.31,CIS
4322,121.92,129.54,CIS
4324,0.60,1.67,CIS
4327,37.67,38.10,CIS
4333,3.65,4.11,CIS
4333,17.22,17.83,CIS
4334,22.86,23.16,CIS
4334,45.14,46.02,CIS
4336,29.68,34.44,CIS
4339,16.91,17.67,CIS
4339,23.01,30.78,CIS
4340,73.15,73.45,CIS
4340,79.40,81.22,CIS
4340,82.29,84.12,CIS
4341,14.78,15.72,CIS
4341,18.89,19.81,CIS
4341,54.25,54.55,CIS
4341,70.10,76.20,CIS
4342,30.78,31.08,CIS
4342,36.11,36.57,CIS
4343,19.81,20.26,CIS
4343,21.03,21.79,CIS
4343,45.72,46.63,CIS
4344,11.73,12.19,CIS
4344,35.96,36.91,CIS
4345,7.98,22.79,CIS
4352,8.99,10.82,CIS
4361,54.49,55.47,CIS
4361,56.69,57.30,CIS
4362,74.15,74.82,CIS
4363,0.91,1.82,CIS
4363,3.65,4.41,CIS
4363,12.03,12.80,CIS
4364,63.09,69.73,CIS
4364,70.71,71.17,CIS
4365,60.19,61.41,CIS
4366,0.00,3.65,CIS
4366,4.57,6.40,CIS
4366,19.96,20.42,CIS
4367,56.84,56.96,CIS
4368,1.52,1.98,CIS
4383,21.94,23.31,CIS
4383,25.45,25.75,CIS
4383,53.79,54.71,CIS
4384,0.60,2.89,CIS
4384,11.27,11.58,CIS
4384,34.89,35.66,CIS
4384,37.49,39.77,CIS
4396,9.60,10.66,CIS
4399,0.91,4.72,CIS
4399,19.11,19.41,CIS
4400,4.75,6.55,CIS
4401,0.91,12.19,CIS
4402,1.03,1.82,CIS
4402,2.28,2.83,FAI
4402,10.18,10.48,CIS
4402,41.75,41.94,CIS
4402,67.02,76.20,CIS
4403,2.28,3.65,CIS
4403,5.79,6.24,CIS
4403,7.92,8.07,CIS
4403,13.56,13.74,CIS
4403,45.11,45.72,CIS
4403,70.10,70.71,CIS
4403,72.23,72.99,CIS
4407,5.66,7.19,CIS
4407,131.97,132.83,CIS
4407,193.85,194.06,CIS
4407,194.85,195.83,CIS
4407,202.38,202.69,CIS
4407,203.30,203.75,CIS
4408,2.74,3.20,CIS
4409,1.06,3.04,CIS
4409,28.22,29.26,CIS
4409,29.87,32.00,CIS
4410,14.81,16.39,CIS
4410,19.65,21.79,CIS
4410,29.32,31.39,CIS
4411,10.48,11.09,CIS
4411,12.64,13.47,CIS
4411,16.91,17.52,CIS
4412,0.60,0.91,CIS
4412,21.18,21.79,CIS
4412,23.31,25.75,CIS
4413,0.60,0.91,CIS
4413,20.05,20.48,CIS
4414,24.53,24.68,CIS
4414,28.49,35.05,CIS
4415,11.88,12.07,CIS
4415,13.25,14.02,CIS
4415,18.59,19.20,CIS
4415,27.12,32.46,CIS
4416,12.34,16.55,CIS
4416,18.74,20.93,CIS
4417,4.87,5.02,CIS
4418,9.14,9.41,CIS
4418,9.81,10.57,CIS
4418,11.12,12.31,CIS
4418,45.72,46.08,CIS
4418,53.94,54.71,CIS
4422,25.60,30.48,CIS
4427,3.04,4.11,CIS
4427,30.63,31.08,CIS
4427,78.02,78.48,CIS
4427,137.16,137.92,CIS
4427,140.05,140.69,CIS
4427,142.49,144.78,CIS
4428,26.51,34.53,CIS
4430,14.44,15.08,CIS
4430,107.28,109.72,CIS
4430,144.47,146.30,CIS
4443,9.14,9.60,CIS
4443,27.73,28.95,CIS
4446,20.11,20.90,CIS
4446,35.96,36.66,CIS
4446,90.22,92.20,CIS
4447,16.00,17.06,CIS
4447,82.14,83.66,CIS
4449,69.43,70.40,CIS
4449,83.36,84.42,CIS
4449,108.50,110.18,CIS
4449,147.55,147.88,CIS
4449,166.87,167.64,CIS
4449,171.75,171.78,CIS
4449,173.27,181.96,CIS
4451,0.00,0.45,CIS
4451,2.37,3.04,CIS
4451,5.51,6.52,CIS
4452,11.88,12.28,CIS
4452,60.80,61.05,CIS
4452,71.93,72.39,CIS
4452,77.11,78.02,CIS
4452,78.02,78.45,CIS
4452,88.39,90.83,CIS
4453,17.76,19.05,CIS
4453,25.63,27.27,CIS
4454,18.44,20.57,CIS
4454,45.87,45.96,CIS
4454,67.36,67.97,CIS
4455,79.09,80.89,CIS
4455,84.58,85.03,CIS
4455,91.44,92.04,CIS
4456,73.45,74.06,CIS
4456,86.56,87.32,CIS
4457,0.00,0.91,CIS
4457,22.25,22.86,CIS
4457,66.29,67.97,CIS
4457,81.53,81.80,CIS
4461,3.07,3.20,CIS
4461,3.81,5.27,CIS
4462,62.39,63.09,CIS
4462,66.56,66.69,CIS
4463,14.93,15.17,CIS
4463,34.89,36.42,CIS
4463,55.93,56.38,CIS
4464,8.22,8.83,CIS
4464,127.40,129.11,CIS
4483,112.77,116.89,CIS
4484,22.40,22.86,CIS
4484,51.51,51.66,CIS
4484,108.17,109.24,CIS
4484,110.79,111.25,CIS
4485,7.92,10.66,CIS
4486,54.31,55.47,CIS
4486,81.22,81.68,CIS
4486,83.51,84.03,CIS
4487,0.00,1.06,CIS
4487,14.17,14.63,CIS
4487,25.90,26.51,CIS
4488,19.20,19.65,CIS
4493,36.11,37.33,CIS
4494,7.77,8.22,CIS
4494,58.97,60.96,CIS
4495,41.91,43.28,CIS
4496,0.00,2.13,CIS
4496,31.08,32.43,CIS
4496,40.69,40.90,CIS
4496,167.30,167.82,CIS
4497,16.33,16.48,CIS
4497,42.51,42.97,CIS
4497,65.83,67.66,CIS
4497,112.47,115.51,CIS
4497,141.88,142.34,CIS
4500,12.49,24.01,CIS
4500,74.37,74.98,CIS
4501,41.84,44.40,CIS
4502,3.65,4.11,CIS
4502,24.44,25.14,CIS
4502,31.24,32.30,CIS
4504,63.45,66.75,CIS
4507,6.09,7.31,CIS
4508,7.16,7.31,CIS
4509,2.95,3.44,CIS
4509,4.11,4.72,CIS
4509,4.72,8.07,CIS
4509,23.92,24.23,CIS
4509,37.49,37.61,CIS
4510,40.84,43.28,CIS
4510,61.41,62.63,CIS
4511,2.59,3.35,CIS
4513,15.24,15.54,CIS
4514,7.46,8.22,CIS
4514,55.32,55.77,CIS
4514,60.04,61.56,CIS
4514,70.86,71.01,CIS
4517,1.82,2.04,CIS
4517,3.65,3.96,CIS
4517,4.87,5.48,CIS
4517,21.94,22.86,CIS
4518,15.24,15.84,CIS
4518,23.25,30.63,CIS
4518,34.13,36.88,CIS
4519,2.89,3.96,CIS
4520,13.71,14.63,CIS
4520,37.39,38.10,CIS
4520,40.53,41.75,CIS
4520,61.87,61.99,CIS
4523,0.30,1.40,CIS
4523,46.93,47.54,CIS
4524,46.02,46.63,CIS
4525,15.69,30.48,CIS
4525,33.22,36.88,CIS
4527,0.60,1.67,FAI
4527,25.60,26.51,CIS
4529,0.60,1.37,CIS
4529,27.88,28.34,CIS
4531,43.73,44.80,CIS
4532,9.90,10.82,CIS
4532,13.10,13.50,CIS
4533,14.02,14.63,CIS
4534,14.02,16.76,CIS
4534,84.21,86.25,CIS
4534,137.76,140.51,CIS
4534,163.37,163.98,CIS
4535,2.43,3.04,CIS
4535,14.17,16.30,CIS
4535,80.92,81.53,CIS
4536,34.29,35.20,CIS
4536,35.50,35.96,CIS
4536,90.22,93.72,CIS
4537,0.76,4.29,CIS
4547,10.54,15.08,CIS
4547,18.44,18.59,CIS
4550,3.50,3.65,CIS
4550,4.57,5.79,CIS
4550,7.62,8.22,CIS
4551,0.76,2.34,CIS
4551,69.64,70.71,CIS
4551,150.72,151.42,CIS
4551,173.88,174.34,CIS
4552,70.86,71.78,CIS
4552,73.15,75.89,CIS
4580,33.22,34.44,CIS
4580,36.72,37.03,CIS
4580,37.49,38.25,CIS
4582,45.04,47.24,CIS
4583,4.57,5.48,CIS
4583,8.38,8.68,CIS
4583,10.51,11.12,CIS
4585,0.60,4.57,CIS
4587,23.77,24.32,CIS
4587,26.30,28.65,CIS
4590,32.18,35.66,CIS
4590,38.10,38.46,CIS
4590,39.92,41.14,CIS
4591,14.93,15.54,CIS
4591,24.68,25.29,CIS
4591,43.28,43.73,CIS
4591,44.19,44.65,CIS
4592,35.81,35.90,CIS
4592,37.27,37.49,CIS
4592,44.80,46.02,CIS
4593,27.88,28.80,CIS
4603,9.81,9.96,CIS
4603,18.89,18.92,CIS
4603,22.67,22.76,CIS
4603,32.91,33.52,FAI
4603,34.13,36.88,CIS
4604,14.93,15.54,CIS
4605,57.45,58.21,CIS
4606,0.91,1.37,CIS
4606,16.91,17.31,CIS
4606,73.60,73.79,CIS
4607,46.20,48.31,CIS
4608,43.28,43.73,CIS
4608,47.39,48.00,CIS
4608,52.88,53.18,CIS
4612,1.58,2.59,CIS
4612,39.92,47.70,CIS
4613,28.95,29.38,CIS
4613,32.15,32.61,CIS
4613,37.03,39.01,CIS
4614,41.91,45.41,CIS
4614,46.42,46.60,CIS
4615,19.50,19.65,CIS
4615,36.88,38.10,CIS
4615,83.60,83.82,CIS
4615,100.64,120.18,CIS
4615,154.10,154.16,CIS
4615,161.87,162.48,CIS
4615,173.12,173.43,CIS
4615,178.91,179.22,CIS
4615,186.08,186.53,CIS
4617,0.60,3.81,CIS
4617,15.84,16.45,CIS
4617,19.05,21.39,CIS
4619,8.53,10.05,CIS
4622,0.00,1.37,CIS
4622,7.46,9.60,CIS
4623,0.45,2.89,CIS
4623,22.09,22.86,CIS
4623,26.36,28.04,CIS
4623,31.39,32.61,CIS
4624,0.60,5.85,CIS
4628,12.19,12.64,CIS
4628,13.56,14.02,CIS
4631,34.13,34.44,CIS
4631,42.42,43.73,CIS
4631,74.21,74.67,CIS
4633,0.60,2.74,CIS
4633,3.26,3.47,CIS
4634,0.76,1.58,CIS
4634,6.40,7.01,CIS
4634,21.79,23.07,CIS
4635,34.29,34.59,CIS
4635,36.27,36.88,CIS
4637,3.50,3.68,CIS
4637,5.02,5.63,CIS
4637,32.15,32.85,CIS
4638,0.00,0.39,CIS
4638,26.82,30.84,CIS
4638,53.79,56.38,CIS
4638,144.01,144.32,CIS
4638,147.21,151.48,CIS
4638,184.86,185.28,CIS
4638,186.08,186.75,CIS
4640,2.28,10.60,CIS
4641,5.63,6.40,CIS
4641,17.22,17.67,CIS
4641,18.74,19.20,CIS
4642,38.49,40.08,CIS
4642,60.65,63.00,CIS
4642,64.31,65.53,CIS
4644,14.32,14.78,CIS
4644,20.26,20.87,CIS
4644,24.68,25.14,CIS
4646,0.00,0.91,CIS
4646,7.43,7.52,CIS
4646,17.67,17.73,CIS
4646,24.23,24.84,CIS
4647,14.99,16.27,CIS
4647,68.42,68.88,CIS
4647,70.19,79.97,CIS
4647,101.49,102.32,CIS
4647,114.90,115.36,CIS
4648,14.93,17.22,CIS
4648,87.17,87.78,CIS
4648,88.84,89.18,CIS
4648,92.20,93.11,CIS
4649,9.29,10.66,CIS
4650,4.57,6.40,CIS
4651,74.82,87.78,CIS
4651,100.12,100.91,CIS
4651,115.06,115.36,CIS
4651,121.31,121.61,CIS
4652,0.00,0.60,CIS
4652,16.30,16.61,CIS
4652,17.37,17.83,CIS
4652,24.07,24.38,CIS
4652,66.29,69.18,CIS
4652,70.25,71.62,CIS
4652,81.53,82.75,CIS
4653,0.00,2.89,CIS
4653,23.62,24.53,CIS
4657,45.41,46.02,CIS
4657,58.67,59.28,CIS
4657,76.80,77.11,CIS
4657,111.55,111.86,CIS
4657,112.16,112.47,CIS
4657,133.65,134.11,CIS
4657,158.80,161.84,CIS
4658,23.92,25.60,CIS
4658,61.26,61.53,CIS
4658,84.42,84.58,CIS
4658,86.86,87.78,CIS
4658,88.69,89.24,CIS
4658,101.80,102.71,CIS
4658,119.32,119.63,CIS
4658,139.14,139.44,CIS
4658,162.30,163.37,CIS
4659,0.36,2.28,CIS
4659,46.63,47.24,CIS
4660,13.35,14.47,CIS
4660,40.53,44.19,CIS
4660,46.02,46.93,CIS
4660,49.68,53.98,CIS
4661,10.66,11.12,CIS
4661,18.89,20.26,CIS
4661,40.53,42.21,CIS
4661,52.88,53.09,CIS
4661,55.32,55.93,CIS
4663,0.00,0.60,CIS
4664,10.66,13.10,CIS
4664,40.53,40.99,CIS
4664,43.58,44.25,CIS
4665,15.54,16.45,CIS
4665,94.18,97.53,CIS
4666,16.00,16.61,CIS
4666,42.21,42.97,CIS
4666,43.43,44.34,CIS
4666,95.70,97.99,CIS
4666,121.31,121.61,FAI
4670,23.01,24.68,CIS
4672,0.00,2.74,CIS
4672,54.25,54.55,CIS
4672,118.71,121.46,CIS
4672,151.79,154.53,CIS
4672,155.75,157.58,CIS
4673,21.79,23.16,CIS
4674,64.31,67.97,CIS
4678,2.28,2.89,CIS
4678,7.62,8.22,CIS
4679,10.51,11.12,CIS
4679,59.43,60.35,CIS
4679,120.09,121.00,CIS
4679,170.99,171.90,CIS
4679,191.41,195.92,CIS
4683,0.00,1.46,CIS
4683,4.93,12.80,CIS
4687,2.37,2.86,CIS
4687,8.53,9.14,CIS
4687,35.66,36.27,CIS
4687,94.18,94.79,CIS
4687,101.95,102.41,CIS
4688,29.87,30.48,CIS
4688,66.90,67.11,CIS
4688,119.78,120.39,CIS
4688,121.00,123.90,CIS
4688,177.54,178.30,CIS
4692,1.21,2.28,CIS
4699,35.35,35.60,CIS
4700,16.91,21.48,CIS
4700,22.86,23.25,CIS
4700,29.62,29.93,CIS
4701,35.26,35.41,CIS
4701,65.98,66.44,CIS
4702,32.46,33.07,CIS
4702,60.10,64.31,CIS
4705,0.00,3.35,CIS
4705,80.31,80.61,CIS
4705,81.68,81.99,CIS
4705,86.41,87.63,CIS
4705,97.07,98.14,CIS
4705,117.65,118.26,CIS
4705,127.40,128.01,CIS
4705,143.10,144.62,CIS
4705,165.20,165.50,CIS
4706,48.61,48.92,CIS
4706,49.83,51.02,CIS
4706,52.42,52.73,CIS
4712,13.41,13.71,CIS
4712,15.54,16.00,CIS
4715,5.79,9.44,CIS
4715,14.93,15.39,CIS
4720,0.00,1.06,CIS
4720,98.45,102.41,CIS
4721,32.76,33.68,CIS
4721,34.74,36.02,CIS
4721,42.51,43.89,CIS
4731,40.69,42.21,CIS
4733,48.70,49.98,CIS
4734,53.34,54.89,CIS
4735,0.91,1.98,CIS
4735,4.11,5.48,CIS
4735,14.63,16.61,CIS
4736,19.35,20.87,CIS
4737,153.92,155.44,CIS
4737,179.22,179.52,CIS
4738,1.15,1.82,CIS
4738,75.43,75.89,CIS
4738,89.76,89.97,CIS
4738,143.86,145.23,CIS
4739,18.13,19.96,CIS
4739,27.73,28.34,CIS
4739,45.56,46.63,CIS
4739,54.83,54.95,CIS
4740,49.68,50.13,CIS
4742,18.28,19.81,CIS
4742,24.84,25.60,CIS
4746,6.70,7.92,CIS
4746,20.87,21.79,CIS
4747,5.33,5.63,CIS
4747,9.20,10.05,CIS
4747,11.27,12.03,CIS
4747,22.25,23.92,CIS
4748,11.27,12.03,CIS
4748,15.54,17.67,CIS
4748,22.55,24.99,CIS
4749,9.75,11.43,CIS
4754,7.31,8.53,CIS
4754,19.35,20.87,CIS
4755,20.26,21.09,CIS
4758,7.01,8.22,CIS
4758,17.37,20.11,CIS
4759,0.00,1.21,CIS
4759,9.29,9.75,CIS
4759,19.81,22.86,CIS
4759,55.44,57.30,CIS
4760,10.05,11.27,CIS
4760,18.89,21.03,CIS
4760,28.95,31.39,CIS
4761,12.64,27.12,CIS
4762,22.25,22.92,CIS
4763,0.00,0.36,CIS
4763,1.06,1.82,CIS
4763,23.92,24.99,CIS
4768,36.57,37.03,CIS
4768,94.79,96.65,CIS
4769,3.16,3.65,CIS
4769,9.75,10.05,CIS
4769,37.73,37.97,CIS
4769,48.00,48.31,CIS
4769,111.86,114.14,CIS
4769,115.76,117.34,CIS
4769,138.53,139.75,CIS
4769,150.57,151.42,CIS
4772,45.87,46.32,CIS
4772,79.55,80.01,CIS
4772,85.80,87.63,CIS
4772,89.67,90.31,CIS
4773,5.18,5.79,CIS
4773,27.73,28.95,CIS
4773,109.88,117.95,CIS
4782,8.53,9.44,CIS
4782,34.44,34.83,CIS
4782,70.25,70.86,CIS
4782,76.20,76.65,CIS
4782,111.70,119.48,CIS
4782,141.42,142.18,CIS
4783,33.22,33.52,CIS
4784,21.03,21.27,CIS
4784,110.64,113.38,CIS
4785,24.53,26.51,CIS
4785,117.80,118.71,CIS
4785,167.94,168.55,CIS
4796,5.63,5.94,CIS
4796,8.38,8.53,CIS
4796,12.34,12.49,CIS
4797,35.05,35.66,CIS
4797,40.53,41.39,CIS
4797,50.90,51.20,CIS
4798,1.98,2.59,CIS
4798,6.09,6.70,CIS
4798,14.47,14.93,CIS
4798,15.54,15.69,CIS
4798,116.58,117.04,CIS
4800,39.62,40.84,CIS
4800,43.58,44.19,CIS
4801,72.84,73.03,CIS
