HOLE-ID,LOC_UTMX,LOC_UTMY,LOC_UTMZ,AZ_UTM,DIP,LENGTH_M,NO_DATA,DOUBTFUL_C
17854RECON,294622.26,5331404.44,-512.87,182.31,29.84,24.99,No_Assay,
17855,294568.35,5331186.18,-971.28,182.31,80.00,75.59,,
17856,294416.66,5331081.74,315.01,182.31,-60.00,77.99,,
17857,295096.30,5331245.27,-1004.23,355.39,0.00,8.59,,
17858,295096.27,5331245.16,-1003.45,353.47,35.00,16.58,,
17859,295108.23,5331244.98,-1004.21,3.20,0.00,10.36,,
1786,295039.98,5331194.57,137.67,169.41,0.00,153.16,,
17860,295126.60,5331240.96,-1002.96,359.85,50.00,12.49,,
17861RECON,294387.08,5331133.22,-244.02,182.31,87.78,50.29,No_Assay,
17862RECON,294433.06,5331138.63,-244.16,182.31,86.42,60.65,,
17863RECON,294446.39,5331128.78,-244.37,2.31,72.13,61.26,,
17864RECON,294450.90,5331127.36,-243.70,2.31,74.24,57.91,,
17865,294722.64,5331167.22,-130.94,182.10,75.00,51.81,,
17866,294722.64,5331167.33,-130.93,182.31,82.00,72.84,,
17867,294723.09,5331167.90,-130.90,354.31,56.00,27.43,,
17868,294709.52,5331169.53,-130.70,2.31,75.00,33.52,,
17869,294709.18,5331170.81,-131.91,346.46,0.00,18.28,,
1787,294661.03,5331193.02,136.40,4.26,-0.92,190.80,,
17870,294709.57,5331168.21,-131.89,169.29,0.00,18.28,,
17871,294690.55,5331172.76,-130.69,3.30,67.00,36.57,,
17872,294690.49,5331171.97,-130.73,178.85,65.00,41.45,,
17873,294690.50,5331171.37,-131.84,179.01,0.00,23.16,,
17874,294672.69,5331177.06,-130.72,180.45,75.00,41.14,,
17875,294666.88,5331179.06,-130.66,187.40,64.00,45.41,,
17877,294746.62,5331154.54,-130.94,2.31,81.00,67.66,,
17878,294824.04,5331297.07,-1030.23,176.88,30.00,26.51,,
17879,294824.02,5331297.98,-1028.92,171.34,70.00,38.10,,
1788,294778.30,5331186.64,213.95,11.41,45.37,30.84,,
17881,294481.33,5331171.23,314.30,2.31,-55.00,80.01,,
17882,294481.33,5331171.23,314.30,2.31,-40.00,98.99,,
17883,294483.31,5331213.68,308.97,2.31,-45.00,62.11,,
17884,294535.59,5331183.17,316.58,2.31,-45.00,107.99,,
17885,294535.62,5331184.08,316.58,2.31,-60.00,79.55,,
17886,294537.68,5331221.94,312.35,2.31,-45.00,61.99,,
17887,295142.45,5331259.74,-971.06,2.31,0.00,61.26,,
17888,295167.07,5331245.55,-969.04,312.18,50.00,63.70,,
17889,295168.53,5331245.28,-969.53,362.11,68.00,67.66,,
17-88-T,296206.47,5329042.09,320.42,2.44,-80.40,733.65,,
1789,294778.16,5331185.50,213.99,2.31,90.00,30.17,,
17890,294562.29,5331175.60,313.44,2.31,-60.00,60.96,,
17891,294562.34,5331176.90,313.44,2.31,-40.00,105.00,,
17892,294563.85,5331209.04,312.58,2.31,-45.00,63.09,,
17893,294589.76,5331162.67,316.23,2.31,-55.00,61.99,,
17894,294589.78,5331163.78,316.24,2.31,-40.00,89.61,,
17895,294589.17,5331210.35,311.84,2.31,-45.00,76.50,,
17896,294593.49,5331250.58,311.05,2.31,-43.00,77.41,,
17897,294596.25,5331309.53,309.99,2.31,-45.00,61.99,,
17898,294452.59,5331158.62,312.92,2.31,-60.00,84.00,,
17899,294452.59,5331158.62,312.92,2.31,-40.00,65.01,,
179,294508.51,5331222.07,212.52,168.38,-61.00,38.86,,
1790,294778.30,5331186.83,212.04,4.66,-36.31,37.49,,
17900,294422.30,5331166.68,312.16,182.31,-60.00,61.99,,
17901,294422.38,5331161.68,312.34,2.31,-60.00,77.99,,
17902,294422.38,5331160.19,312.64,2.31,-40.00,60.99,,
17903,294716.88,5331133.03,-323.63,8.09,-47.00,59.43,,
17904RECON,294707.43,5331134.43,-324.00,2.31,-60.28,56.38,,
17905,294751.80,5331320.96,-998.20,361.61,62.00,46.02,,
17906,294765.33,5331323.86,-999.57,5.07,25.00,51.20,,
17907,294765.28,5331323.16,-998.78,5.27,70.00,49.37,,
17908,294806.57,5331331.63,-998.32,355.68,70.00,31.39,,
17909,294807.22,5331330.96,-998.48,182.31,80.00,30.93,,
1791,294778.28,5331186.73,213.79,6.99,34.51,15.24,,
17910,294806.90,5331329.71,-1000.42,184.13,0.00,61.66,,
17911,294408.14,5330684.38,-914.49,2.31,0.00,524.98,,
17912,294408.19,5330684.16,-914.68,2.31,0.00,323.08,,
17913,294417.06,5330665.17,-914.69,2.31,0.00,169.77,,
17914,294417.38,5330663.98,-913.47,2.31,0.00,110.64,,
17915,294417.43,5330664.17,-912.14,2.31,0.00,123.44,,
17916,294101.26,5331194.51,-165.46,185.67,47.00,99.06,,
17917RECON,294128.15,5331179.93,-165.63,182.31,60.58,77.11,,
17918RECON,294127.89,5331173.54,-165.83,182.31,37.10,48.46,,
17919RECON,294169.80,5331191.31,-165.22,182.31,61.39,80.00,,
1792,294778.27,5331186.41,214.06,92.61,58.44,30.93,,
17920,294367.06,5331162.60,315.44,2.31,-45.00,50.74,,
17921,294367.23,5331160.74,315.65,2.31,-65.00,52.48,,
17922,294314.81,5331155.08,313.72,2.31,-40.00,50.29,,
17923,294314.81,5331153.87,313.88,2.31,-60.00,55.99,,
17924,294641.77,5331172.41,313.54,2.31,-60.00,77.51,,
17925,294641.77,5331172.41,313.54,2.31,-40.00,82.60,,
17926,294643.77,5331205.40,311.70,2.31,-45.00,61.99,,
17927,294508.01,5331178.39,315.17,2.31,-45.00,48.00,,
17928,294508.55,5331198.59,314.78,2.31,-45.00,47.00,,
17929,294641.77,5331173.33,313.54,182.31,-55.00,65.98,,
1793,294777.70,5331186.42,211.87,2.31,-90.00,30.96,,
17930,294482.34,5331204.76,310.53,182.31,-75.00,54.01,,
17931,294537.19,5331234.21,313.51,182.31,-83.00,49.07,,
17932,294536.09,5331200.97,313.38,182.31,-75.00,49.49,,
17933,294564.75,5331228.39,313.48,182.31,-86.00,54.01,,
17934,294563.97,5331204.75,314.26,2.31,-90.00,56.99,,
17935,294510.09,5331234.54,313.16,182.31,-83.00,39.01,,
17936,294508.89,5331205.58,313.06,182.31,-79.00,50.99,,
17937,294727.07,5331202.99,316.12,2.31,-45.00,75.01,,
17938,294727.17,5331169.91,316.19,2.31,-47.00,75.01,,
17939,294706.05,5331372.30,308.90,2.31,-45.00,90.00,,
1794,294559.43,5331035.99,212.60,197.53,-35.95,45.11,,
17940,294777.53,5331169.74,315.88,2.31,-47.00,75.01,,
17941,294788.05,5331208.39,314.79,2.31,-45.00,75.01,,
17942,294704.77,5331325.59,310.58,2.31,-45.00,90.00,,
17943,294832.55,5331185.47,316.16,2.31,-47.00,75.01,,
17944,294831.56,5331139.01,316.34,2.31,-48.00,71.99,,
17945,294816.21,5331352.57,309.97,2.31,-47.00,90.00,,
17946,294884.49,5331175.08,316.92,2.31,-45.00,75.01,,
17947,294886.34,5331130.54,316.86,2.31,-47.00,75.01,,
17948,294696.40,5331211.46,316.76,2.31,-50.00,42.00,,
17949,294695.99,5331193.40,317.08,2.31,-52.00,35.99,,
1795,294449.49,5331216.82,138.59,3.44,-5.37,152.40,,
17950,294702.66,5331277.65,314.72,2.31,-45.00,90.00,,
17951,294482.80,5331239.30,312.74,182.31,-72.00,54.01,,
17952,294592.22,5331227.31,311.29,182.31,-88.00,35.99,,
17953,294668.50,5331194.26,315.51,2.31,-47.00,74.67,,
17954,294670.50,5331164.05,314.95,2.31,-47.00,81.07,,
17955,294592.45,5331233.10,311.29,182.31,-84.00,50.99,,
17956,294591.20,5331202.03,311.60,182.31,-84.00,48.00,,
17957,294548.13,5331173.58,312.88,2.31,-40.00,83.51,,
17958,294620.05,5331205.30,311.88,5.31,-46.00,78.02,,
17959,294617.19,5331165.05,313.87,2.31,-45.00,71.99,,
1796,294848.75,5331103.74,137.68,2.31,90.00,34.74,,
17960,294840.38,5331107.68,-972.27,232.24,33.00,22.55,,
17961,294840.56,5331107.76,-971.77,227.06,55.00,31.08,,
17962,294842.08,5331107.50,-971.24,149.18,66.00,13.71,,
17963,294842.90,5331107.88,-972.17,104.39,31.00,10.36,,
17964,294643.25,5331218.90,310.73,182.31,-85.00,50.99,,
17965,294650.42,5331195.67,313.43,182.31,-84.00,50.50,,
17966RECON,294468.63,5331226.23,-611.96,182.31,23.11,18.28,No_Assay,
17967RECON,294449.98,5331217.73,-611.70,2.31,29.67,19.20,No_Assay,
17968,294454.51,5331216.41,-612.24,35.31,20.00,19.20,,
17969RECON,294431.51,5331213.59,-600.90,42.00,0.00,18.28,,
1797,294848.59,5331103.28,135.51,196.36,-67.00,35.20,,
17970,294451.79,5331224.48,-611.57,277.21,45.00,18.28,,
17971,295169.38,5331245.67,-970.06,51.23,30.00,46.63,,
17972,295168.14,5331255.48,-969.64,3.07,50.00,30.48,,
17973,295168.55,5331245.61,-971.72,360.08,-50.00,85.95,,
17974,294475.01,5331047.42,315.26,2.31,-90.00,54.01,,
17975,294477.84,5331114.50,314.65,2.31,-90.00,60.04,,
17976,294480.18,5331172.36,314.34,2.31,-90.00,54.01,,
17977,294419.29,5331028.25,313.38,2.31,-90.00,60.04,,
17978,294489.48,5331067.90,314.59,2.31,-90.00,60.01,,
17979,294367.41,5331105.54,315.43,2.31,-90.00,60.01,,
1798,294863.54,5331111.34,137.75,186.14,71.00,35.66,,
17980,294365.72,5331060.92,315.20,2.31,-90.00,60.01,,
17981,294504.07,5331091.03,314.62,2.31,-90.00,42.00,,
17982,294507.10,5331159.07,315.56,2.31,-90.00,48.00,,
17983,294532.48,5331107.47,316.45,2.31,-90.00,48.00,,
17984,294533.37,5331133.65,314.94,2.31,-90.00,54.01,No_Assay,
17985,294557.73,5331053.30,314.65,2.31,-90.00,60.01,,
17986,294558.77,5331079.19,314.65,2.31,-90.00,48.00,,
17987,294311.09,5331063.42,316.72,2.31,-90.00,60.01,,
17988,294312.16,5331093.80,315.49,2.31,-90.00,60.04,,
17989,294243.65,5331075.25,321.71,2.31,-90.00,60.01,,
1799,294482.54,5331030.69,290.28,5.99,47.00,15.24,,
17990RECON,294442.05,5331247.78,-167.93,2.31,62.50,36.88,,
17991RECON,294464.83,5331245.44,-166.75,2.31,61.76,49.45,,
17992,294733.45,5331215.82,317.11,182.31,-85.00,44.98,,
17993,294732.35,5331184.01,317.75,182.31,-85.00,48.00,,
17994,294696.16,5331195.20,317.08,182.31,-56.00,27.49,No_Assay,
17995,294815.63,5331321.66,309.93,2.31,-45.00,75.01,,
17996,294821.64,5331282.11,312.83,2.31,-45.00,74.49,,
17997,294810.95,5331244.94,313.87,2.31,-45.00,71.96,,
17998,294908.60,5331133.92,-1321.63,178.02,55.00,36.57,,
17999,295001.65,5331160.35,-1321.65,182.57,30.00,76.80,,
18,294840.20,5331013.40,317.63,353.31,-35.00,151.02,,
180,294470.56,5331218.01,213.03,174.81,-46.00,40.53,,
1800,294482.34,5331029.06,290.07,187.99,54.00,15.24,,
18000,294856.48,5331121.48,-1321.82,182.31,90.00,53.03,,
18001,294938.64,5331137.75,-1321.35,181.92,75.00,56.38,,
18002,295001.93,5331160.96,-1321.08,183.76,60.00,68.58,,
18003,294969.36,5331147.73,-1321.89,182.13,40.00,62.78,,
18004,294982.90,5331153.17,-1321.94,186.06,32.00,67.36,,
18005,294992.40,5331157.47,-1321.53,183.18,57.00,68.58,,
18006,294822.75,5331301.35,-1031.09,358.64,0.00,47.09,,
18007,294700.45,5331230.94,315.49,2.31,-45.00,90.00,,
18008,294482.23,5331246.72,311.73,2.31,-45.00,96.01,,
18009,294483.34,5331288.15,310.38,2.31,-45.00,88.39,,
1801,294676.03,5331062.01,135.86,10.06,-18.00,38.55,,
18010,294485.25,5331335.36,309.77,2.31,-45.00,90.00,No_Assay,
18011,294486.57,5331379.93,308.60,2.31,-45.00,90.00,,
18012,294262.40,5331255.91,309.46,2.31,-45.00,89.91,,
18013,294264.82,5331307.00,309.80,2.31,-45.00,90.00,,
18014,294267.20,5331350.59,308.32,2.31,-45.00,92.65,,
18016,294407.08,5330684.58,-912.15,341.42,16.00,191.99,,
18017,294819.77,5331460.62,308.85,2.31,-45.00,90.00,,
18018,294817.55,5331405.80,308.85,2.31,-45.00,90.00,,
18019,294696.72,5331212.74,315.54,182.31,-85.00,47.70,,
1802,294676.01,5331061.91,135.46,9.53,-54.00,38.10,,
18020,294695.85,5331187.43,317.08,182.31,-84.00,48.00,,
18021RECON,294685.68,5331388.59,-549.57,2.31,89.24,68.58,,
18022,294687.08,5331388.39,-549.97,94.17,64.00,73.15,,
18023,294687.83,5331378.88,-549.85,272.31,76.00,64.31,,
18024,294619.43,5331221.33,311.60,182.31,-82.00,50.29,,
18025,294618.78,5331205.19,311.60,182.31,-82.00,42.48,,
18026,294416.11,5331059.03,314.95,182.31,-45.00,90.00,,
18027,294548.13,5331173.58,312.88,182.31,-45.00,75.01,,
18028,294619.15,5331104.12,314.62,2.31,-90.00,32.49,,
18029RECON,294683.67,5331338.85,-549.51,2.31,71.71,58.82,,
1803,294660.85,5331061.85,136.12,360.98,-19.18,38.10,,
18030,294694.55,5331352.05,-549.92,92.81,65.00,60.96,,
18031,294856.53,5331120.55,-1323.80,176.41,-40.00,91.74,,
18032,294840.08,5331119.12,-1323.81,165.41,-30.00,61.56,,
18033,294531.93,5331094.31,314.95,2.31,-90.00,21.00,,
18034,294531.44,5331082.13,314.65,2.31,-90.00,18.98,,
18035,294504.83,5331103.03,314.65,2.31,-90.00,18.01,No_Assay,
18036,294491.60,5331100.21,314.65,2.31,-90.00,20.42,,
18037,294463.49,5331099.21,314.65,2.31,-90.00,21.00,,
18038,294559.35,5331093.51,314.65,2.31,-90.00,21.00,,
18039,294486.12,5331093.11,314.65,182.31,-47.00,77.96,,
1804,294660.82,5331061.66,135.50,2.31,-54.20,39.07,,
18040,294464.55,5331125.41,314.65,182.31,-45.00,63.48,,
18041,295010.99,5331097.08,-1306.32,2.71,0.00,19.50,,
18042,294998.12,5331097.51,-1306.74,6.58,0.00,25.29,,
18043,294976.16,5331102.39,-1306.83,6.56,0.00,18.28,,
18044,294956.19,5331102.58,-1307.12,10.11,0.00,19.50,,
18045,294933.36,5331108.22,-1307.48,5.95,0.00,18.89,,
18046RECON,294726.08,5331256.18,-549.17,182.31,82.56,46.02,,
18047RECON,294712.48,5331259.32,-549.29,182.31,78.86,44.24,,
18048RECON,294756.60,5331218.66,-550.32,2.31,48.83,45.72,,
18049,294489.76,5331069.78,314.65,182.31,-45.00,44.98,,
1805,294842.74,5331124.80,211.29,15.19,-43.00,38.70,,
18050,293917.87,5331186.13,314.54,182.31,-58.00,61.69,,
18051,294391.20,5331126.19,314.23,182.31,-45.00,54.01,,
18052,294390.22,5331099.89,314.87,182.31,-45.00,54.01,,
18053,294418.13,5331108.78,314.24,182.31,-45.00,44.98,,
18054,294445.79,5331112.05,313.80,182.31,-45.00,54.01,,
18055,294439.80,5331086.66,314.89,2.31,-90.00,35.99,No_Assay,
18056,294430.95,5331081.80,314.34,2.31,-90.00,35.38,,
18057,294462.51,5331096.62,314.28,182.31,-45.00,65.98,,
18058RECON,294181.69,5331146.13,-165.34,2.31,53.92,46.32,,
18059RECON,294190.80,5331145.08,-165.83,2.31,38.79,32.61,,
1806,294842.02,5331121.55,211.23,196.34,-62.00,37.58,,
18060,294666.04,5331240.13,-1018.95,358.15,2.00,77.11,,
18061,294666.08,5331240.13,-1018.75,361.38,16.00,85.34,,
18062,294666.09,5331240.21,-1018.34,3.49,30.00,91.44,,
18063,294788.08,5331319.51,312.02,2.31,-45.00,92.99,,
18064,294815.94,5331342.72,310.10,2.31,-50.00,63.00,,
18065,294840.02,5331323.15,313.86,2.31,-45.00,91.74,,
18066,294786.40,5331450.81,309.54,2.31,-45.00,93.57,,
18067,294819.73,5331446.80,308.94,2.31,-45.00,98.14,,
18068,294820.96,5331475.79,308.96,2.31,-45.00,86.56,,
18069,294847.08,5331459.95,313.13,2.31,-45.00,96.98,,
18069A,294845.66,5331459.57,314.65,2.31,-45.00,48.49,,
1807,295013.30,5331050.57,176.04,360.41,-6.00,151.48,,
18070,294822.75,5331515.35,308.46,2.31,-45.00,91.13,,
18071,294418.28,5331112.64,314.65,2.31,-90.00,23.98,,
18072,294418.28,5331112.64,314.65,182.31,-65.00,44.98,,
18073,294673.30,5331210.79,314.99,2.31,-72.00,29.99,,
18074,294670.81,5331187.65,315.32,2.31,-78.00,29.99,,
18075,294669.76,5331177.44,315.12,182.31,-55.00,21.00,No_Assay,
18076,294700.30,5331204.82,315.48,2.31,-75.00,35.99,,
18077,294698.24,5331181.05,316.03,2.31,-75.00,35.99,,
18078,294696.33,5331161.72,316.01,182.31,-64.00,27.00,,
18079,294732.68,5331210.43,316.03,2.31,-90.00,48.00,,
1808,295013.30,5331050.29,175.64,357.81,-30.00,37.97,,
18080,294730.47,5331182.80,316.28,182.31,-86.00,44.98,,
18081,294729.77,5331172.45,316.21,182.31,-58.00,29.99,,
18082,294758.46,5331189.96,316.19,2.31,-45.00,44.98,,
18083,294757.18,5331173.54,316.43,2.31,-45.00,63.00,,
18084,294756.84,5331169.56,316.35,182.31,-58.00,39.01,,
18085,294781.91,5331191.45,315.04,2.31,-45.00,42.00,,
18086,294779.24,5331166.76,315.87,182.31,-68.00,39.01,,
18087,294809.78,5331187.37,316.36,2.31,-45.00,59.74,,
18088,294806.66,5331165.35,316.84,2.31,-45.00,60.01,,
18089,294805.25,5331153.78,316.80,182.31,-55.00,48.00,,
1809,295013.95,5331050.44,176.01,36.28,-5.00,30.48,,
18090RECON,294167.88,5331144.09,-166.32,2.31,30.92,30.62,,
18091RECON,294167.89,5331144.11,-165.70,2.31,46.17,36.57,,
18092RECON,294167.88,5331143.86,-165.42,2.31,57.39,48.76,,
18093,294409.15,5330679.83,-912.50,2.31,0.00,366.00,,
18094,294404.87,5330680.00,-913.04,2.31,0.00,185.01,,
18095,294464.34,5330731.71,-914.00,2.31,0.00,222.50,,
18096RECON,294181.71,5331146.46,-165.59,2.31,42.10,34.74,,
18097RECON,294177.12,5331146.13,-165.39,2.31,57.00,43.28,,
18098,294545.43,5331108.92,314.96,182.31,-45.00,60.01,,
18099,294547.61,5331145.66,314.80,182.31,-45.00,56.99,,
181,294366.15,5331114.17,176.69,362.24,0.00,138.98,,
1810,295001.90,5331052.07,176.04,360.43,0.00,22.55,,
18100,294544.78,5331062.13,315.04,2.31,-45.00,33.00,,
18101,294529.06,5331105.59,314.90,182.31,-60.00,23.98,No_Assay,
18102,294525.87,5331063.01,314.86,2.31,-45.00,54.04,,
18103,294522.05,5331010.79,315.65,2.31,-80.00,21.00,,
18104,294516.29,5330991.32,318.22,2.31,-90.00,65.98,No_Assay,
18105,294489.80,5331073.87,315.02,2.31,-45.00,60.01,,
18106,294487.78,5331034.60,315.26,2.31,-78.00,48.00,,
18107,294472.02,5331080.02,314.98,2.31,-45.00,48.00,,
18108,294453.22,5331088.83,314.95,182.31,-45.00,29.99,,
18109,294444.57,5331092.84,314.95,2.31,-45.00,35.99,,
1811,294983.30,5331054.54,175.74,357.03,1.00,22.86,,
18110,294433.36,5331068.52,315.54,2.31,-50.00,71.99,,
18111,294433.02,5331036.72,314.97,2.31,-60.00,54.01,,
1811-1RECON,294807.50,5331232.67,-366.82,2.31,57.02,15.87,No_Litho,
18112,294433.01,5331031.84,314.94,182.31,-45.00,90.00,,
1811-2RECON,294807.44,5331231.25,-366.72,2.31,59.41,19.17,No_Litho,
18113,294417.53,5331094.06,314.94,182.31,-58.00,29.99,,
18114,294415.53,5331044.72,315.26,182.31,-86.00,54.01,,
18115,294414.88,5331026.32,315.51,182.31,-45.00,75.01,,
18116,294408.45,5331095.64,315.09,2.31,-45.00,33.00,,
18117,294480.25,5331171.96,312.41,182.31,-55.00,81.07,,
18118,294406.18,5331032.90,315.33,2.31,-45.00,54.01,,
18119,294405.86,5331027.33,315.56,182.31,-45.00,54.01,,
1812,294174.15,5331155.70,178.86,182.31,0.00,65.83,,
18120,294389.58,5331088.78,315.51,2.31,-45.00,35.99,,
18121,294389.13,5331059.39,315.03,2.31,-45.00,50.99,,
18122,294381.10,5331088.06,315.17,2.31,-45.00,44.98,,
18123,294383.03,5331146.09,314.65,182.31,-45.00,48.00,,
18124,294369.24,5331133.44,314.58,182.31,-56.00,33.00,,
18125,294367.04,5331090.30,315.87,2.31,-45.00,33.00,,
18126,294364.92,5331037.92,315.56,2.31,-45.00,42.00,,
18127,294478.71,5331136.12,313.12,182.31,-55.00,56.38,,
18128,294364.13,5331018.12,315.78,182.31,-45.00,90.00,,
18129,294292.21,5331164.19,308.45,182.31,-52.00,54.01,,
1813,294144.37,5331153.37,178.83,182.31,0.00,60.96,,
18130,294292.03,5331155.90,310.47,2.31,-45.00,56.69,,
18131,294290.96,5331127.68,314.93,182.31,-45.00,44.98,,
18132,294289.78,5331103.19,314.65,182.31,-62.00,48.00,,
18133,294286.69,5331048.07,319.01,182.31,-45.00,92.99,,
18134,294287.84,5331033.47,318.63,2.31,-45.00,63.00,,
18135,294230.90,5331157.58,309.35,2.31,-45.00,63.09,,
18136,294146.59,5331127.47,311.56,2.31,-45.00,63.70,,
18137,294146.59,5331127.47,311.56,2.31,-70.00,60.01,,
18138,294146.64,5331060.17,321.07,2.31,-45.00,98.14,,
18139,294147.78,5331082.41,321.12,182.31,-45.00,96.01,,
1814,294983.65,5331048.70,20.90,32.06,-85.00,35.05,,
18140,294348.96,5331092.89,-1259.43,181.53,66.11,18.28,,
18141,294348.66,5331094.32,-1259.35,360.87,55.26,41.78,,
18142,294348.73,5331094.65,-1259.78,6.05,37.10,33.52,,
18143,294638.99,5331214.89,-1155.68,356.27,0.00,32.61,,
18144,294666.99,5331212.14,-1155.08,6.10,50.00,48.76,,
18145,294678.72,5331211.14,-1155.00,356.04,58.00,55.47,,
18146,294688.05,5331212.56,-1154.90,352.98,60.00,52.42,,
18147RECON,294466.71,5331404.98,-548.47,2.31,57.11,56.47,,
18148RECON,294466.66,5331403.60,-548.66,182.31,69.74,48.10,,
18149,294467.96,5331402.43,-548.78,174.37,33.00,64.00,,
1815,294964.12,5331056.56,20.79,2.31,-90.00,35.05,,
18150RECON,294480.54,5331407.55,-548.80,182.31,31.22,66.75,,
18151RECON,294498.95,5331410.23,-548.96,182.31,32.10,59.13,,
18152RECON,294531.06,5331412.05,-548.96,182.31,36.94,71.62,No_Assay,
18153RECON,294531.09,5331412.90,-548.65,182.31,68.10,53.13,No_Assay,
18154RECON,294544.94,5331415.99,-548.55,182.31,45.68,67.36,,
18155RECON,294503.60,5331411.87,-548.85,182.31,67.50,48.02,,
18156RECON,294466.05,5331275.61,-281.02,182.31,57.79,21.03,,
18157RECON,294466.07,5331275.93,-280.65,182.31,82.22,36.27,,
18158,294494.78,5331284.67,-281.47,178.02,37.00,24.38,,
18159RECON,294493.91,5331285.49,-281.13,182.31,67.55,34.44,,
1816,295014.04,5331050.62,176.66,33.91,23.00,32.64,,
18160,294596.60,5331340.03,311.81,2.31,-45.00,92.50,,
18161,294596.82,5331386.97,308.39,2.31,-45.00,92.65,,
18162,294600.33,5331426.18,308.28,2.31,-45.00,92.65,,
18163,294372.38,5331274.34,314.65,2.31,-45.00,62.51,,
18164,294373.48,5331300.74,309.76,2.31,-45.00,92.50,,
18165,294375.56,5331346.75,308.97,2.31,-45.00,92.50,,
18166,294377.18,5331391.43,308.34,2.31,-45.00,93.57,,
18167,294152.78,5331240.55,309.06,2.31,-45.00,94.48,,
18168,294155.13,5331285.84,308.28,2.31,-45.00,92.50,,
18169,294157.24,5331332.52,308.09,2.31,-45.00,92.50,,
1817,295013.79,5331050.27,175.57,34.83,-24.00,30.48,,
18170,294158.07,5331378.03,308.02,2.31,-45.00,92.65,No_Assay,
18171,294651.84,5331355.16,311.52,2.31,-45.00,92.04,,
18172,294650.05,5331307.85,311.91,2.31,-45.00,92.50,,
18173,294808.51,5331306.81,312.24,2.31,-45.00,91.98,,
18174,294822.65,5331498.73,308.73,182.31,-76.00,75.01,,
18175,294969.51,5331148.59,-1321.16,182.31,80.00,70.71,,
18176,294151.33,5331210.62,309.09,2.31,-45.00,85.49,,
18177,294671.31,5331224.94,314.85,182.31,-70.00,75.01,,
18178,294686.82,5331224.49,315.19,182.31,-70.00,60.01,,
18179,294685.50,5331209.75,315.44,2.31,-70.00,48.00,,
1818,295013.24,5331050.75,176.62,360.69,23.00,26.91,,
18180,294714.21,5331226.65,316.63,182.31,-75.00,60.01,,
18181,294713.40,5331205.79,315.80,2.31,-65.00,84.00,,
18182,294822.85,5331514.80,308.57,182.31,-76.00,75.01,,
18183,294868.18,5331434.87,313.35,2.31,-45.00,98.14,,
18184,294869.70,5331481.51,312.97,2.31,-45.00,95.09,,
18185,294700.44,5331221.87,315.87,182.31,-70.00,71.99,,
18186,294730.42,5331272.24,311.96,182.31,-60.00,113.99,,
18187,294751.31,5331227.40,313.12,182.31,-70.00,71.99,,
18188,294756.20,5331205.88,316.25,2.31,-65.00,48.03,,
18189,294780.41,5331225.89,313.97,182.31,-65.00,61.99,,
1819,294701.62,5331046.21,-170.34,361.56,0.00,46.02,,
18190,294785.51,5331195.24,315.06,2.31,-65.00,63.00,,
18191,294807.16,5331220.66,314.01,182.31,-70.00,80.98,,
18192,294806.28,5331193.49,316.14,2.31,-65.00,56.99,,
18193,294809.65,5331169.71,316.71,182.31,-75.00,56.99,,
18194,294835.10,5331206.11,316.12,182.31,-70.00,77.72,,
18195,294831.38,5331189.54,316.21,2.31,-70.00,46.51,,
18196,294861.08,5331189.47,316.47,2.31,-45.00,80.01,,
18197,294862.33,5331153.97,316.35,2.31,-45.00,82.96,,
18198,294886.84,5331158.04,316.47,2.31,-45.00,61.99,,
18199,294883.74,5331081.30,316.78,2.31,-45.00,92.99,,
182,294365.47,5331114.24,176.68,322.34,0.00,156.05,,
1820,294701.56,5331042.50,-170.32,180.91,0.00,113.69,,
18200,294881.93,5331101.63,316.91,2.31,-45.00,38.00,,
18201,294925.09,5331206.16,319.82,2.31,-45.00,76.99,,
18202,294924.25,5331170.32,317.06,2.31,-45.00,76.99,,
18203,294961.59,5331189.19,318.64,2.31,-45.00,90.52,,
18204,294968.83,5331140.39,318.15,2.31,-45.00,91.98,,
18205,294957.67,5331098.47,318.26,2.31,-45.00,95.00,,
18206,294955.86,5331048.36,319.46,2.31,-45.00,97.04,,
18207,294953.93,5331006.77,318.54,2.31,-45.00,91.98,,
18208,294997.18,5331174.75,319.04,2.31,-45.00,91.98,,
18209,294996.10,5331145.63,318.72,2.31,-45.00,91.98,,
1821,294700.71,5331046.11,-170.31,315.81,0.00,53.03,,
18210,295089.01,5331195.29,326.34,2.31,-45.00,91.98,,
18211,295088.10,5331153.23,325.18,2.31,-45.00,91.98,,
18212,295103.60,5331083.08,324.85,2.31,-45.00,91.98,,
18213,295103.60,5331083.08,324.85,182.31,-45.00,61.99,,
18214,294349.58,5331090.71,315.82,2.31,-64.00,69.00,,
18215,294350.51,5331133.98,311.90,182.31,-45.00,86.98,,
18216,294345.28,5331004.86,317.69,2.31,-45.00,90.00,,
18217,294352.47,5331178.05,312.12,182.31,-45.00,98.75,,
18218,294331.78,5331153.69,311.79,182.31,-56.00,42.00,,
18219,294327.69,5331082.71,316.28,2.31,-45.00,44.98,,
1822,294701.68,5331046.15,-169.43,353.31,41.50,29.71,,
18220,294314.78,5331140.62,313.22,182.31,-51.00,71.99,,
18221,294310.50,5331079.41,316.82,2.31,-45.00,48.00,,
18222,294311.47,5331007.66,318.46,2.31,-45.00,75.01,,
18223,294272.00,5331130.57,313.29,182.31,-45.00,48.00,,
18224,294269.90,5331091.43,316.08,2.31,-45.00,48.00,,
18225,294253.87,5331120.51,314.04,182.31,-45.00,71.99,,
